tensor,k,nmi
tensor_70,1,1.0
tensor_70,2,0.0007918603696810521
tensor_70,3,0.21384164187873597
tensor_70,4,0.535861288425726
tensor_70,5,0.4954581759863152
tensor_70,6,0.5325237137627964
tensor_70,7,0.6441589240021605
tensor_70,8,0.6939222107270506
tensor_70,9,0.7578656850609523
tensor_100,1,1.0
tensor_100,2,0.05005203109224811
tensor_100,3,0.24568193168054211
tensor_100,4,0.39446241457540215
tensor_100,5,0.4764942688297495
tensor_100,6,0.5505367442174984
tensor_100,7,0.706428834499492
tensor_100,8,0.8247036624220355
tensor_100,9,0.929403067887897
tensor_200,1,1.0
tensor_200,2,0.06796001346223363
tensor_200,3,0.2993061847608671
tensor_200,4,0.4231924298969383
tensor_200,5,0.6586684473504731
tensor_200,6,0.651215716477629
tensor_200,7,0.8187535081175066
tensor_200,8,0.9246117268712489
tensor_200,9,1.0
tensor_300,1,1.0
tensor_300,2,0.07448308596203695
tensor_300,3,0.5678815282792384
tensor_300,4,0.5578858913022595
tensor_300,5,0.8519590445170675
tensor_300,6,1.0
